id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3641,123456789/2749,,2017-03-09,,,,The Press Trust of India,http://hdl.handle.net/108/148940,http://128.9.32.51:8080/jspui/handle/108/148940,,,,,,DRDO||Budget Estimates||DRDO Projects||DRDO Expenditure,,,Cuts in funds for DRDO forced it to put major projects on,,
3625,123456789/2749,"Chauhan, Neeraj",2017-06-12,,,,"The Times of India, 09 June 2017",http://hdl.handle.net/108/149723,http://128.9.32.51:8080/jspui/handle/108/149723,,,,,,Weapon Tracking System||RFID Application||GPS Tracker||GPS Technology,,,CRPFexploring tech to track looted weapons,,
3634,123456789/2749,"Peri, Dinakar",2017-05-15,,,,"The Hindu, 15 May 2017",http://hdl.handle.net/108/149542,http://128.9.32.51:8080/jspui/handle/108/149542,,,,,,Defence Policy||Defence Procurement-Policy||Single Vendor Procurement,,,Policy tweak to speed up defence purchases,,
3626,123456789/2749,"Kumar, Chethan",2017-06-12,,,,"The Times of India, 09 June 2017",http://hdl.handle.net/108/149722,http://128.9.32.51:8080/jspui/handle/108/149722,,,,,,DRDO||INSAS||Assault rifle||Ordnance Factory,,,Trial of indigenous asault rifle to begin on June12,,
3642,123456789/2749,Economic Time Service,2017-02-16,,,,"The Economic Times, 16 February 2017",http://hdl.handle.net/108/148939,http://128.9.32.51:8080/jspui/handle/108/148939,,,,,,Isro||PSLV||Satellite||Cartosat-2,,,IsroLaunch 104 satellites In one shot,,
3649,123456789/2749,"Shukla, Ajai",2011-11-24,,,,,http://hdl.handle.net/108/84653,http://128.9.32.51:8080/jspui/handle/108/84653,,,,,MBT||Arjun,,,"T-90 tank: Technology transfer, supply of assemblies hit Russian stonewall",,,
3635,123456789/2749,"Ajai, Shukla",2017-03-26,,,,"Business Standard,26 March 2017",http://hdl.handle.net/108/149134,http://128.9.32.51:8080/jspui/handle/108/149134,,,,,,DRDO||DRDO Revmping||DRDO restructuring,,,"Three years after Modi rattled DRDO, little has changed",,
3627,123456789/2749,The Indian Express,2017-06-08,,,,"The Indian Express, 08 June 2017",http://hdl.handle.net/108/149721,http://128.9.32.51:8080/jspui/handle/108/149721,,,,,,Ordnance Factory||Talegaon||Ordnance Depot||Platinum jubilee,,,Talegaon Ordnance Depot celebrates platinum jubilee,,
3643,123456789/2749,"Pandit, Rajat",2017-02-12,,,,"The Times of India, 12 February 2017",http://hdl.handle.net/108/148938,http://128.9.32.51:8080/jspui/handle/108/148938,,,,,,Ballestic Missile Defence||DRDO||Interceptor Missile||Missile Test,,,Intereeptor missile test a hit; two-layered shield possible,,
3628,123456789/2749,"Peri, Dinakar",2017-06-05,,,,"The Hindu, 05 June 2017",http://hdl.handle.net/108/149720,http://128.9.32.51:8080/jspui/handle/108/149720,,,,,,Small Arms||Defence Procurement||Assault rifle||INSAS,,,"New rifle ready, but Army holds fire",,
